family,substrate,tau_drive_steps,arm,band_k,seed,n,ipc
esn,esn-fast (leak 1.0),1.0,A-readout,4,20260836,350,2.705
esn,esn-fast (leak 1.0),1.0,B-drive,4,20260836,350,3.367
esn,esn-fast (leak 1.0),1.0,A-readout,8,20260836,350,1.409
esn,esn-fast (leak 1.0),1.0,B-drive,8,20260836,350,2.194
esn,esn-mid (leak 0.3),2.8,A-readout,1,20260836,350,2.469
esn,esn-mid (leak 0.3),2.8,B-drive,1,20260836,350,2.469
esn,esn-mid (leak 0.3),2.8,A-readout,2,20260836,350,2.027
esn,esn-mid (leak 0.3),2.8,B-drive,2,20260836,350,3.413
esn,esn-mid (leak 0.3),2.8,A-readout,4,20260836,350,1.403
esn,esn-mid (leak 0.3),2.8,B-drive,4,20260836,350,4.055
esn,esn-mid (leak 0.3),2.8,A-readout,8,20260836,350,0.689
esn,esn-mid (leak 0.3),2.8,B-drive,8,20260836,350,3.917
esn,esn-slow (leak 0.1),9.5,A-readout,1,20260836,350,1.319
esn,esn-slow (leak 0.1),9.5,B-drive,1,20260836,350,1.319
esn,esn-slow (leak 0.1),9.5,A-readout,2,20260836,350,1.009
esn,esn-slow (leak 0.1),9.5,B-drive,2,20260836,350,1.748
esn,esn-slow (leak 0.1),9.5,A-readout,4,20260836,350,0.759
esn,esn-slow (leak 0.1),9.5,B-drive,4,20260836,350,2.525
esn,esn-slow (leak 0.1),9.5,A-readout,8,20260836,350,0.51
esn,esn-slow (leak 0.1),9.5,B-drive,8,20260836,350,3.286
mass-spring,spring-fast (omega 2.0),1.67,A-readout,1,20260836,350,6.35
mass-spring,spring-fast (omega 2.0),1.67,B-drive,1,20260836,350,6.35
mass-spring,spring-fast (omega 2.0),1.67,A-readout,2,20260836,350,3.368
mass-spring,spring-fast (omega 2.0),1.67,B-drive,2,20260836,350,3.984
mass-spring,spring-fast (omega 2.0),1.67,A-readout,4,20260836,350,1.664
mass-spring,spring-fast (omega 2.0),1.67,B-drive,4,20260836,350,2.358
mass-spring,spring-fast (omega 2.0),1.67,A-readout,8,20260836,350,0.792
