substrate,arm,band_k,seed,n,m_streams,ipc,mc,kr,gr
esn-mid (leak 0.3),A-readout,8,20260838,350,60,1.236,0.552,35.0,13.0
esn-mid (leak 0.3),B-drive,8,20260838,350,60,3.964,2.721,28.0,7.0
esn-slow (leak 0.1),A-readout,1,20260838,350,60,1.31,0.79,24.0,10.0
esn-slow (leak 0.1),B-drive,1,20260838,350,60,1.31,0.79,24.0,10.0
esn-slow (leak 0.1),A-readout,2,20260838,350,60,0.715,0.13,24.0,11.0
esn-slow (leak 0.1),B-drive,2,20260838,350,60,1.87,1.03,29.0,9.0
esn-slow (leak 0.1),A-readout,4,20260838,350,60,0.784,0.246,24.0,12.0
esn-slow (leak 0.1),B-drive,4,20260838,350,60,2.579,1.582,32.0,8.0
esn-slow (leak 0.1),A-readout,8,20260838,350,60,1.165,0.419,26.0,11.0
esn-slow (leak 0.1),B-drive,8,20260838,350,60,3.672,2.344,32.0,8.0
esn-fast (leak 1.0),A-readout,1,20260839,350,60,8.872,5.647,56.0,16.0
esn-fast (leak 1.0),B-drive,1,20260839,350,60,8.872,5.647,56.0,16.0
esn-fast (leak 1.0),A-readout,2,20260839,350,60,4.266,2.705,55.0,14.0
esn-fast (leak 1.0),B-drive,2,20260839,350,60,5.958,3.1,42.0,14.0
esn-fast (leak 1.0),A-readout,4,20260839,350,60,2.455,1.313,55.0,10.0
esn-fast (leak 1.0),B-drive,4,20260839,350,60,3.471,1.827,24.0,11.0
esn-fast (leak 1.0),A-readout,8,20260839,350,60,1.267,0.149,54.0,13.0
esn-fast (leak 1.0),B-drive,8,20260839,350,60,1.871,0.68,12.0,6.0
esn-mid (leak 0.3),A-readout,1,20260839,350,60,1.765,0.776,27.0,10.0
esn-mid (leak 0.3),B-drive,1,20260839,350,60,1.765,0.776,27.0,10.0
esn-mid (leak 0.3),A-readout,2,20260839,350,60,1.87,0.969,27.0,9.0
esn-mid (leak 0.3),B-drive,2,20260839,350,60,2.93,1.197,26.0,8.0
esn-mid (leak 0.3),A-readout,4,20260839,350,60,1.245,0.505,28.0,7.0
esn-mid (leak 0.3),B-drive,4,20260839,350,60,3.522,1.547,23.0,9.0
esn-mid (leak 0.3),A-readout,8,20260839,350,60,0.914,0.129,26.0,11.0
esn-mid (leak 0.3),B-drive,8,20260839,350,60,3.113,1.777,18.0,7.0
esn-slow (leak 0.1),A-readout,1,20260839,350,60,1.319,0.429,20.0,9.0
esn-slow (leak 0.1),B-drive,1,20260839,350,60,1.319,0.429,20.0,9.0
esn-slow (leak 0.1),A-readout,2,20260839,350,60,0.903,0.572,20.0,9.0
esn-slow (leak 0.1),B-drive,2,20260839,350,60,1.343,0.597,21.0,8.0
esn-slow (leak 0.1),A-readout,4,20260839,350,60,0.901,0.259,21.0,8.0
esn-slow (leak 0.1),B-drive,4,20260839,350,60,1.929,0.836,23.0,8.0
esn-slow (leak 0.1),A-readout,8,20260839,350,60,1.065,0.304,19.0,9.0
esn-slow (leak 0.1),B-drive,8,20260839,350,60,2.943,1.282,23.0,8.0
