substrate,arm,band_k,max_delay,basis_terms,samples_per_term,feasible,seed,n,ipc
esn-slow (leak 0.1),A-readout,8,32,560,0.625,0,20260831,350,9.886
esn-slow (leak 0.1),B-drive,8,2,5,70.0,1,20260831,350,1.292
esn-slow (leak 0.1),B-drive,8,4,14,25.0,1,20260831,350,2.069
esn-slow (leak 0.1),B-drive,8,8,44,7.955,1,20260831,350,3.528
esn-slow (leak 0.1),B-drive,8,16,152,2.303,1,20260831,350,5.929
esn-slow (leak 0.1),B-drive,8,32,560,0.625,0,20260831,350,12.542
esn-fast (leak 1.0),A-readout,1,2,5,70.0,1,20260832,350,2.08
esn-fast (leak 1.0),A-readout,1,4,14,25.0,1,20260832,350,4.124
esn-fast (leak 1.0),A-readout,1,8,44,7.955,1,20260832,350,8.253
esn-fast (leak 1.0),A-readout,1,16,152,2.303,1,20260832,350,12.133
esn-fast (leak 1.0),A-readout,1,32,560,0.625,0,20260832,350,19.248
esn-fast (leak 1.0),B-drive,1,2,5,70.0,1,20260832,350,2.08
esn-fast (leak 1.0),B-drive,1,4,14,25.0,1,20260832,350,4.124
esn-fast (leak 1.0),B-drive,1,8,44,7.955,1,20260832,350,8.253
esn-fast (leak 1.0),B-drive,1,16,152,2.303,1,20260832,350,12.133
esn-fast (leak 1.0),B-drive,1,32,560,0.625,0,20260832,350,19.248
esn-fast (leak 1.0),A-readout,2,2,5,70.0,1,20260832,350,1.981
esn-fast (leak 1.0),A-readout,2,4,14,25.0,1,20260832,350,3.826
esn-fast (leak 1.0),A-readout,2,8,44,7.955,1,20260832,350,5.194
esn-fast (leak 1.0),A-readout,2,16,152,2.303,1,20260832,350,6.396
esn-fast (leak 1.0),A-readout,2,32,560,0.625,0,20260832,350,12.759
esn-fast (leak 1.0),B-drive,2,2,5,70.0,1,20260832,350,1.966
esn-fast (leak 1.0),B-drive,2,4,14,25.0,1,20260832,350,3.832
esn-fast (leak 1.0),B-drive,2,8,44,7.955,1,20260832,350,6.586
esn-fast (leak 1.0),B-drive,2,16,152,2.303,1,20260832,350,8.14
esn-fast (leak 1.0),B-drive,2,32,560,0.625,0,20260832,350,15.58
esn-fast (leak 1.0),A-readout,4,2,5,70.0,1,20260832,350,1.814
esn-fast (leak 1.0),A-readout,4,4,14,25.0,1,20260832,350,2.565
esn-fast (leak 1.0),A-readout,4,8,44,7.955,1,20260832,350,3.086
esn-fast (leak 1.0),A-readout,4,16,152,2.303,1,20260832,350,4.723
esn-fast (leak 1.0),A-readout,4,32,560,0.625,0,20260832,350,11.538
esn-fast (leak 1.0),B-drive,4,2,5,70.0,1,20260832,350,1.885
esn-fast (leak 1.0),B-drive,4,4,14,25.0,1,20260832,350,3.196
esn-fast (leak 1.0),B-drive,4,8,44,7.955,1,20260832,350,3.884
esn-fast (leak 1.0),B-drive,4,16,152,2.303,1,20260832,350,5.655
esn-fast (leak 1.0),B-drive,4,32,560,0.625,0,20260832,350,12.639
esn-fast (leak 1.0),A-readout,8,2,5,70.0,1,20260832,350,0.848
esn-fast (leak 1.0),A-readout,8,4,14,25.0,1,20260832,350,0.936
esn-fast (leak 1.0),A-readout,8,8,44,7.955,1,20260832,350,1.481
esn-fast (leak 1.0),A-readout,8,16,152,2.303,1,20260832,350,2.858
esn-fast (leak 1.0),A-readout,8,32,560,0.625,0,20260832,350,9.744
esn-fast (leak 1.0),B-drive,8,2,5,70.0,1,20260832,350,1.533
esn-fast (leak 1.0),B-drive,8,4,14,25.0,1,20260832,350,1.771
esn-fast (leak 1.0),B-drive,8,8,44,7.955,1,20260832,350,2.189
esn-fast (leak 1.0),B-drive,8,16,152,2.303,1,20260832,350,3.899
esn-fast (leak 1.0),B-drive,8,32,560,0.625,0,20260832,350,10.356
esn-mid (leak 0.3),A-readout,1,2,5,70.0,1,20260832,350,1.142
esn-mid (leak 0.3),A-readout,1,4,14,25.0,1,20260832,350,1.988
esn-mid (leak 0.3),A-readout,1,8,44,7.955,1,20260832,350,3.544
esn-mid (leak 0.3),A-readout,1,16,152,2.303,1,20260832,350,6.299
esn-mid (leak 0.3),A-readout,1,32,560,0.625,0,20260832,350,15.994
esn-mid (leak 0.3),B-drive,1,2,5,70.0,1,20260832,350,1.142
esn-mid (leak 0.3),B-drive,1,4,14,25.0,1,20260832,350,1.988
esn-mid (leak 0.3),B-drive,1,8,44,7.955,1,20260832,350,3.544
esn-mid (leak 0.3),B-drive,1,16,152,2.303,1,20260832,350,6.299
esn-mid (leak 0.3),B-drive,1,32,560,0.625,0,20260832,350,15.994
esn-mid (leak 0.3),A-readout,2,2,5,70.0,1,20260832,350,0.727
esn-mid (leak 0.3),A-readout,2,4,14,25.0,1,20260832,350,1.123
esn-mid (leak 0.3),A-readout,2,8,44,7.955,1,20260832,350,1.748
esn-mid (leak 0.3),A-readout,2,16,152,2.303,1,20260832,350,3.208
esn-mid (leak 0.3),A-readout,2,32,560,0.625,0,20260832,350,9.951
esn-mid (leak 0.3),B-drive,2,2,5,70.0,1,20260832,350,1.54
esn-mid (leak 0.3),B-drive,2,4,14,25.0,1,20260832,350,2.655
esn-mid (leak 0.3),B-drive,2,8,44,7.955,1,20260832,350,4.453
esn-mid (leak 0.3),B-drive,2,16,152,2.303,1,20260832,350,7.497
esn-mid (leak 0.3),B-drive,2,32,560,0.625,0,20260832,350,15.957
esn-mid (leak 0.3),A-readout,4,2,5,70.0,1,20260832,350,0.421
esn-mid (leak 0.3),A-readout,4,4,14,25.0,1,20260832,350,0.773
esn-mid (leak 0.3),A-readout,4,8,44,7.955,1,20260832,350,1.128
esn-mid (leak 0.3),A-readout,4,16,152,2.303,1,20260832,350,2.832
esn-mid (leak 0.3),A-readout,4,32,560,0.625,0,20260832,350,9.254
esn-mid (leak 0.3),B-drive,4,2,5,70.0,1,20260832,350,1.891
esn-mid (leak 0.3),B-drive,4,4,14,25.0,1,20260832,350,3.141
esn-mid (leak 0.3),B-drive,4,8,44,7.955,1,20260832,350,5.076
esn-mid (leak 0.3),B-drive,4,16,152,2.303,1,20260832,350,7.147
esn-mid (leak 0.3),B-drive,4,32,560,0.625,0,20260832,350,14.802
esn-mid (leak 0.3),A-readout,8,2,5,70.0,1,20260832,350,0.274
esn-mid (leak 0.3),A-readout,8,4,14,25.0,1,20260832,350,0.489
esn-mid (leak 0.3),A-readout,8,8,44,7.955,1,20260832,350,0.861
esn-mid (leak 0.3),A-readout,8,16,152,2.303,1,20260832,350,2.592
esn-mid (leak 0.3),A-readout,8,32,560,0.625,0,20260832,350,9.184
esn-mid (leak 0.3),B-drive,8,2,5,70.0,1,20260832,350,1.869
esn-mid (leak 0.3),B-drive,8,4,14,25.0,1,20260832,350,3.122
esn-mid (leak 0.3),B-drive,8,8,44,7.955,1,20260832,350,4.472
esn-mid (leak 0.3),B-drive,8,16,152,2.303,1,20260832,350,5.84
esn-mid (leak 0.3),B-drive,8,32,560,0.625,0,20260832,350,13.228
esn-slow (leak 0.1),A-readout,1,2,5,70.0,1,20260832,350,0.708
esn-slow (leak 0.1),A-readout,1,4,14,25.0,1,20260832,350,1.214
esn-slow (leak 0.1),A-readout,1,8,44,7.955,1,20260832,350,2.251
esn-slow (leak 0.1),A-readout,1,16,152,2.303,1,20260832,350,3.844
esn-slow (leak 0.1),A-readout,1,32,560,0.625,0,20260832,350,12.063
esn-slow (leak 0.1),B-drive,1,2,5,70.0,1,20260832,350,0.708
esn-slow (leak 0.1),B-drive,1,4,14,25.0,1,20260832,350,1.214
esn-slow (leak 0.1),B-drive,1,8,44,7.955,1,20260832,350,2.251
esn-slow (leak 0.1),B-drive,1,16,152,2.303,1,20260832,350,3.844
esn-slow (leak 0.1),B-drive,1,32,560,0.625,0,20260832,350,12.063
esn-slow (leak 0.1),A-readout,2,2,5,70.0,1,20260832,350,0.254
esn-slow (leak 0.1),A-readout,2,4,14,25.0,1,20260832,350,0.427
esn-slow (leak 0.1),A-readout,2,8,44,7.955,1,20260832,350,1.11
esn-slow (leak 0.1),A-readout,2,16,152,2.303,1,20260832,350,2.634
esn-slow (leak 0.1),A-readout,2,32,560,0.625,0,20260832,350,8.973
esn-slow (leak 0.1),B-drive,2,2,5,70.0,1,20260832,350,0.798
esn-slow (leak 0.1),B-drive,2,4,14,25.0,1,20260832,350,1.5
esn-slow (leak 0.1),B-drive,2,8,44,7.955,1,20260832,350,2.775
esn-slow (leak 0.1),B-drive,2,16,152,2.303,1,20260832,350,4.993
esn-slow (leak 0.1),B-drive,2,32,560,0.625,0,20260832,350,14.556
esn-slow (leak 0.1),A-readout,4,2,5,70.0,1,20260832,350,0.22
esn-slow (leak 0.1),A-readout,4,4,14,25.0,1,20260832,350,0.428
esn-slow (leak 0.1),A-readout,4,8,44,7.955,1,20260832,350,1.08
esn-slow (leak 0.1),A-readout,4,16,152,2.303,1,20260832,350,4.506
